Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr3	6795	9	1	105	290	last_breed_formation_generation	False	TRUE	0.19	(0.185, 0.195)	0.416	(0.379, 0.454)	0.21757	(0.2151, 0.22005)	0.07927	0.3475	(0.34559, 0.34942)	0.21579	1.94758
chr3	6795	5	2	111	270	last_breed_formation_generation	False	TRUE	0.309	(0.296, 0.322)	0.685	(0.642, 0.728)	0.21351	(0.20833, 0.21869)	0.05434	0.36096	(0.35698, 0.36494)	0.19823	2.48704
chr3	6640	7	1	98	345	last_breed_formation_generation	False	TRUE	0.191	(0.183, 0.199)	0.435	(0.393, 0.476)	0.23549	(0.23264, 0.23834)	0.09562	0.34962	(0.34775, 0.35149)	0.22234	1.55451
chr3	1855	5	1	114	305	last_breed_formation_generation	False	TRUE	0.242	(0.229, 0.254)	0.571	(0.515, 0.627)	0.24132	(0.23627, 0.24638)	0.06426	0.35869	(0.3558, 0.36158)	0.20376	0.71774
chr3	6415	8	1	96	285	last_breed_formation_generation	False	TRUE	0.2	(0.19, 0.209)	0.416	(0.378, 0.454)	0.22298	(0.21922, 0.22674)	0.08388	0.34956	(0.34738, 0.35174)	0.21855	1.79655
chr3	6875	7	1	92	315	last_breed_formation_generation	False	TRUE	0.194	(0.186, 0.202)	0.424	(0.373, 0.474)	0.23521	(0.2321, 0.23832)	0.09582	0.34818	(0.34659, 0.34977)	0.22242	1.61565
chr3	6680	9	2	99	295	last_breed_formation_generation	False	TRUE	0.218	(0.208, 0.229)	0.478	(0.428, 0.528)	0.21012	(0.20709, 0.21316)	0.0703	0.35355	(0.35157, 0.35553)	0.21713	1.6084
chr3	6510	5	1	95	280	last_breed_formation_generation	False	TRUE	0.244	(0.231, 0.257)	0.523	(0.471, 0.575)	0.24345	(0.23828, 0.24861)	0.09213	0.35649	(0.35378, 0.35919)	0.21893	0.75275
chr3	7000	11	1	92	270	last_breed_formation_generation	False	TRUE	0.183	(0.178, 0.189)	0.407	(0.369, 0.445)	0.21173	(0.2097, 0.21377)	0.08087	0.34375	(0.34169, 0.34581)	0.21629	2.20946
chr3	6795	7	1	107	305	last_breed_formation_generation	False	TRUE	0.206	(0.194, 0.218)	0.468	(0.415, 0.521)	0.22699	(0.22182, 0.23216)	0.08534	0.3509	(0.34855, 0.35324)	0.21801	1.5519
chr3	6580	5	6	94	280	last_breed_formation_generation	False	TRUE	0.538	(0.487, 0.588)	0.95	(0.912, 0.989)	0.14427	(0.12819, 0.16034)	0.00649	0.36381	(0.35479, 0.37284)	0.16646	8.37615
chr3	6295	9	1	96	295	last_breed_formation_generation	False	TRUE	0.19	(0.181, 0.199)	0.384	(0.345, 0.423)	0.22039	(0.21776, 0.22303)	0.08588	0.34594	(0.34429, 0.34759)	0.21524	2.098
chr3	6775	7	2	110	270	last_breed_formation_generation	False	TRUE	0.253	(0.238, 0.269)	0.553	(0.488, 0.618)	0.21004	(0.20479, 0.21529)	0.06269	0.35733	(0.35431, 0.36035)	0.20968	1.52562
chr3	6860	61	1	92	290	last_breed_formation_generation	False	TRUE	0.143	(0.139, 0.147)	0.273	(0.252, 0.295)	0.1547	(0.15349, 0.15591)	0.04258	0.33241	(0.33092, 0.33391)	0.19168	4.36007
chr3	6670	5	1	94	280	last_breed_formation_generation	False	TRUE	0.232	(0.22, 0.244)	0.476	(0.424, 0.528)	0.2467	(0.24169, 0.2517)	0.09686	0.35686	(0.3539, 0.35983)	0.2241	0.82559
chr3	6480	7	2	105	315	last_breed_formation_generation	False	TRUE	0.238	(0.226, 0.251)	0.509	(0.453, 0.565)	0.21538	(0.2112, 0.21957)	0.06972	0.35799	(0.35506, 0.36092)	0.21525	1.31466
chr3	6895	13	4	97	300	last_breed_formation_generation	False	TRUE	0.23	(0.217, 0.244)	0.519	(0.442, 0.596)	0.18664	(0.18311, 0.19017)	0.04991	0.35365	(0.35114, 0.35617)	0.208	1.92855
chr3	6680	9	1	99	615	last_breed_formation_generation	False	TRUE	0.122	(0.117, 0.127)	0.225	(0.213, 0.237)	0.23966	(0.23748, 0.24184)	0.11411	0.3367	(0.33474, 0.33865)	0.22452	3.05076
chr3	6545	5	1	113	265	last_breed_formation_generation	False	TRUE	0.252	(0.24, 0.264)	0.585	(0.539, 0.631)	0.23495	(0.22934, 0.24055)	0.07613	0.35864	(0.35592, 0.36136)	0.212	0.9902
chr3	6775	37	2	93	515	last_breed_formation_generation	False	TRUE	0.102	(0.10, 0.105)	0.191	(0.178, 0.204)	0.17949	(0.17847, 0.18051)	0.06672	0.32499	(0.32376, 0.32621)	0.19866	4.65493
chr3	6410	7	1	91	285	last_breed_formation_generation	False	TRUE	0.207	(0.194, 0.221)	0.488	(0.428, 0.547)	0.23119	(0.22705, 0.23534)	0.08888	0.35135	(0.34844, 0.35426)	0.22228	1.39531
chr38	6900	5	1	87	275	last_breed_formation_generation	False	TRUE	0.225	(0.213, 0.236)	0.389	(0.354, 0.424)	0.25625	(0.25104, 0.26147)	0.11833	0.35988	(0.35618, 0.36358)	0.24506	1.39544
chr3	6665	11	1	96	325	last_breed_formation_generation	False	TRUE	0.168	(0.162, 0.175)	0.364	(0.322, 0.406)	0.21493	(0.21319, 0.21667)	0.08517	0.34264	(0.34115, 0.34413)	0.21792	2.55626
chr21	6780	8	1	109	300	last_breed_formation_generation	False	TRUE	0.198	(0.19, 0.206)	0.411	(0.381, 0.441)	0.22159	(0.21898, 0.2242)	0.08789	0.34629	(0.34361, 0.34897)	0.21734	1.79606
chr3	6590	7	1	94	265	last_breed_formation_generation	False	TRUE	0.222	(0.21, 0.234)	0.468	(0.416, 0.521)	0.2267	(0.22225, 0.23114)	0.08385	0.35195	(0.34931, 0.3546)	0.21819	1.31912
chr2	6310	16	1	90	290	last_breed_formation_generation	False	TRUE	0.164	(0.158, 0.17)	0.348	(0.299, 0.396)	0.19923	(0.19709, 0.20138)	0.07227	0.3386	(0.3372, 0.34)	0.20792	3.05263
chr3	6995	5	1	85	310	last_breed_formation_generation	False	TRUE	0.233	(0.218, 0.248)	0.498	(0.451, 0.544)	0.24891	(0.24284, 0.25499)	0.10145	0.35732	(0.35508, 0.35957)	0.22349	0.80456
chr3	6870	9	2	98	280	last_breed_formation_generation	False	TRUE	0.233	(0.222, 0.244)	0.502	(0.456, 0.549)	0.20476	(0.20125, 0.20826)	0.06496	0.35146	(0.34859, 0.35433)	0.20751	1.4332
chr28	6525	7	1	84	290	last_breed_formation_generation	False	TRUE	0.208	(0.193, 0.223)	0.381	(0.333, 0.428)	0.23518	(0.22925, 0.24112)	0.10394	0.34739	(0.34302, 0.35176)	0.226	1.76532
chr3	6695	5	1	92	265	last_breed_formation_generation	False	TRUE	0.241	(0.228, 0.254)	0.5	(0.465, 0.534)	0.24404	(0.23901, 0.24907)	0.09173	0.35711	(0.3545, 0.35973)	0.2248	0.72469
chr3	6745	10	2	96	275	last_breed_formation_generation	False	TRUE	0.217	(0.209, 0.224)	0.448	(0.415, 0.482)	0.20389	(0.20165, 0.20613)	0.06781	0.35398	(0.35149, 0.35647)	0.21701	1.73941
chr9	6395	7	1	88	305	last_breed_formation_generation	False	TRUE	0.215	(0.203, 0.227)	0.422	(0.395, 0.448)	0.23249	(0.22873, 0.23626)	0.09818	0.35045	(0.34746, 0.35344)	0.22749	1.35164
chr3	6880	5	10	111	295	last_breed_formation_generation	False	TRUE	0.609	(0.563, 0.656)	1	(1.00, 1.00)	0.1159	(0.10265, 0.12916)	0	0.36663	(0.35477, 0.3785)	0.16074	9.94739
chr20	6570	9	1	99	280	last_breed_formation_generation	False	TRUE	0.2	(0.184, 0.215)	0.429	(0.392, 0.466)	0.21699	(0.21279, 0.2212)	0.08643	0.347	(0.34415, 0.34984)	0.22066	1.97362
chr3	6755	7	1	116	265	last_breed_formation_generation	False	TRUE	0.231	(0.224, 0.237)	0.496	(0.466, 0.526)	0.21788	(0.21541, 0.22034)	0.07247	0.35375	(0.35103, 0.35646)	0.21787	1.05495
chr3	6880	5	1	86	315	last_breed_formation_generation	False	TRUE	0.226	(0.214, 0.239)	0.491	(0.432, 0.549)	0.25227	(0.24761, 0.25693)	0.10272	0.3576	(0.35392, 0.36127)	0.22762	0.98809
chr2	6650	7	2	91	285	last_breed_formation_generation	False	TRUE	0.246	(0.231, 0.26)	0.534	(0.461, 0.607)	0.21628	(0.21107, 0.2215)	0.06695	0.3601	(0.35782, 0.36238)	0.2166	1.40915
chr38	6480	12	1	93	300	last_breed_formation_generation	False	TRUE	0.181	(0.169, 0.192)	0.355	(0.304, 0.406)	0.20639	(0.20279, 0.20999)	0.08552	0.33964	(0.33652, 0.34275)	0.21868	2.78704
chr3	6995	5	1	95	270	last_breed_formation_generation	False	TRUE	0.238	(0.225, 0.252)	0.501	(0.439, 0.563)	0.24541	(0.24, 0.25083)	0.09493	0.35918	(0.35752, 0.36084)	0.22547	0.81622
chr21	6710	9	1	84	255	last_breed_formation_generation	False	TRUE	0.206	(0.198, 0.214)	0.416	(0.376, 0.455)	0.21853	(0.21586, 0.22121)	0.08449	0.3477	(0.34592, 0.34947)	0.21901	1.77248
chr3	3070	7	2	87	285	last_breed_formation_generation	False	TRUE	0.261	(0.245, 0.276)	0.58	(0.53, 0.631)	0.21674	(0.21094, 0.22254)	0.06115	0.35527	(0.35273, 0.35781)	0.20338	1.51706
chr9	6275	5	1	107	355	last_breed_formation_generation	False	TRUE	0.231	(0.216, 0.246)	0.478	(0.423, 0.532)	0.24622	(0.24098, 0.25145)	0.09938	0.35783	(0.35374, 0.36191)	0.22625	0.88132
chr28	3280	8	1	91	295	last_breed_formation_generation	False	TRUE	0.214	(0.20, 0.228)	0.409	(0.356, 0.461)	0.22482	(0.2203, 0.22934)	0.08234	0.34586	(0.34321, 0.34851)	0.21212	1.7598
chr3	6795	11	2	89	275	last_breed_formation_generation	False	TRUE	0.212	(0.203, 0.222)	0.447	(0.407, 0.488)	0.20254	(0.19992, 0.20517)	0.06837	0.3504	(0.34768, 0.35313)	0.21497	1.91809
chr20	6585	5	1	94	325	last_breed_formation_generation	False	TRUE	0.228	(0.218, 0.238)	0.456	(0.416, 0.496)	0.25148	(0.24709, 0.25588)	0.10509	0.35906	(0.35611, 0.36201)	0.23348	0.97241
chr3	6885	7	1	97	305	last_breed_formation_generation	False	TRUE	0.198	(0.191, 0.206)	0.427	(0.372, 0.483)	0.23293	(0.22987, 0.23599)	0.09146	0.35053	(0.34816, 0.35289)	0.22205	1.60674
chr3	6445	7	1	83	260	last_breed_formation_generation	False	TRUE	0.206	(0.199, 0.212)	0.437	(0.392, 0.483)	0.23385	(0.23143, 0.23628)	0.09172	0.34914	(0.34744, 0.35084)	0.21986	1.36633
chr38	6640	9	1	86	290	last_breed_formation_generation	False	TRUE	0.204	(0.188, 0.221)	0.359	(0.314, 0.404)	0.2209	(0.21496, 0.22685)	0.09513	0.3461	(0.34214, 0.35007)	0.22731	2.22671
chr3	6780	5	1	90	280	last_breed_formation_generation	False	TRUE	0.235	(0.224, 0.246)	0.493	(0.453, 0.532)	0.24648	(0.24163, 0.25132)	0.09637	0.35446	(0.35219, 0.35673)	0.21855	0.69213
chr3	6440	5	2	91	310	last_breed_formation_generation	False	TRUE	0.269	(0.252, 0.286)	0.566	(0.503, 0.63)	0.23298	(0.22775, 0.23821)	0.0764	0.3617	(0.35773, 0.36566)	0.21582	1.29957
chr3	6560	10	1	93	295	last_breed_formation_generation	False	TRUE	0.175	(0.17, 0.18)	0.388	(0.344, 0.432)	0.21952	(0.21714, 0.2219)	0.08776	0.34351	(0.34194, 0.34507)	0.218	2.26283
chr3	6650	7	1	90	430	last_breed_formation_generation	False	TRUE	0.162	(0.156, 0.169)	0.329	(0.297, 0.361)	0.24608	(0.24376, 0.2484)	0.11093	0.34488	(0.34331, 0.34644)	0.22546	2.15261
chr3	6255	5	1	104	285	last_breed_formation_generation	False	TRUE	0.241	(0.224, 0.257)	0.505	(0.458, 0.552)	0.24098	(0.23501, 0.24694)	0.08755	0.35711	(0.35441, 0.35981)	0.21877	0.88185
chr3	6505	8	2	92	280	last_breed_formation_generation	False	TRUE	0.236	(0.224, 0.249)	0.511	(0.459, 0.564)	0.21242	(0.20858, 0.21625)	0.06898	0.35155	(0.34851, 0.35458)	0.21131	1.32513
chr3	6735	7	1	90	390	last_breed_formation_generation	False	TRUE	0.175	(0.17, 0.18)	0.341	(0.322, 0.36)	0.24203	(0.24005, 0.24402)	0.10558	0.34697	(0.34479, 0.34916)	0.22397	1.83578
chr3	6575	5	1	95	300	last_breed_formation_generation	False	TRUE	0.233	(0.217, 0.248)	0.509	(0.453, 0.564)	0.24553	(0.23953, 0.25153)	0.09449	0.35464	(0.35077, 0.35851)	0.21939	0.73407
chr3	6380	9	1	93	320	last_breed_formation_generation	False	TRUE	0.184	(0.177, 0.191)	0.376	(0.342, 0.411)	0.22306	(0.22042, 0.2257)	0.08821	0.3447	(0.34275, 0.34665)	0.21801	2.10574
chr3	6765	7	2	89	290	last_breed_formation_generation	False	TRUE	0.244	(0.228, 0.261)	0.503	(0.453, 0.553)	0.21631	(0.21051, 0.2221)	0.07277	0.35303	(0.35008, 0.35599)	0.2134	1.45405
chr3	6640	5	1	100	275	last_breed_formation_generation	False	TRUE	0.254	(0.244, 0.264)	0.556	(0.503, 0.609)	0.23722	(0.23321, 0.24123)	0.08285	0.35777	(0.35404, 0.3615)	0.21519	0.83912
chr3	6780	10	1	112	305	last_breed_formation_generation	False	TRUE	0.181	(0.174, 0.188)	0.357	(0.326, 0.387)	0.21284	(0.21045, 0.21523)	0.07902	0.34732	(0.34555, 0.34909)	0.218	2.40016
chr3	6520	53	1	114	290	last_breed_formation_generation	False	TRUE	0.163	(0.158, 0.167)	0.325	(0.302, 0.348)	0.15333	(0.15186, 0.1548)	0.03887	0.33653	(0.33491, 0.33815)	0.19374	3.92333
chr3	6375	7	2	96	275	last_breed_formation_generation	False	TRUE	0.251	(0.238, 0.265)	0.519	(0.462, 0.575)	0.21459	(0.21034, 0.21884)	0.06688	0.3571	(0.35452, 0.35968)	0.21456	1.46198
chr3	6640	5	1	89	280	last_breed_formation_generation	False	TRUE	0.237	(0.225, 0.249)	0.534	(0.483, 0.586)	0.24513	(0.23999, 0.25027)	0.09465	0.35866	(0.35574, 0.36159)	0.22264	0.60218
chr3	6780	9	1	89	265	last_breed_formation_generation	False	TRUE	0.194	(0.186, 0.202)	0.4	(0.366, 0.435)	0.22111	(0.21861, 0.22361)	0.0839	0.34778	(0.34609, 0.34948)	0.21847	1.91668
chr3	6690	7	1	88	275	last_breed_formation_generation	False	TRUE	0.218	(0.209, 0.227)	0.465	(0.423, 0.507)	0.23043	(0.2271, 0.23376)	0.08663	0.34958	(0.34723, 0.35192)	0.21538	1.20326
chr3	6845	12	1	91	280	last_breed_formation_generation	False	TRUE	0.174	(0.167, 0.181)	0.347	(0.318, 0.376)	0.20943	(0.20713, 0.21172)	0.07947	0.34122	(0.33984, 0.3426)	0.21171	2.61181
chr3	6670	5	2	90	270	last_breed_formation_generation	False	TRUE	0.283	(0.268, 0.298)	0.597	(0.539, 0.656)	0.22736	(0.22168, 0.23304)	0.06573	0.36589	(0.3619, 0.36989)	0.2185	1.67206
chr2	6875	69	1	88	255	last_breed_formation_generation	False	TRUE	0.154	(0.148, 0.16)	0.294	(0.268, 0.319)	0.14992	(0.14832, 0.15152)	0.03752	0.33416	(0.33176, 0.33656)	0.19283	4.30129
chr3	6640	7	1	91	285	last_breed_formation_generation	False	TRUE	0.213	(0.204, 0.222)	0.478	(0.438, 0.518)	0.22933	(0.2257, 0.23296)	0.08826	0.35161	(0.34906, 0.35417)	0.21928	1.23455
chr3	6780	9	1	93	270	last_breed_formation_generation	False	TRUE	0.201	(0.193, 0.209)	0.449	(0.413, 0.485)	0.21681	(0.21376, 0.21985)	0.08271	0.34776	(0.3461, 0.34942)	0.2181	1.73475
chr21	6860	89	2	88	285	last_breed_formation_generation	False	TRUE	0.147	(0.14, 0.154)	0.257	(0.239, 0.275)	0.14571	(0.14411, 0.14731)	0.03927	0.33103	(0.32873, 0.33333)	0.19424	4.61375
chr28	4140	5	1	87	265	last_breed_formation_generation	False	TRUE	0.252	(0.231, 0.274)	0.513	(0.438, 0.587)	0.24506	(0.23773, 0.25239)	0.08692	0.35774	(0.35323, 0.36225)	0.21963	1.11789
chr3	6580	7	9	92	280	last_breed_formation_generation	False	TRUE	0.513	(0.473, 0.552)	0.958	(0.931, 0.985)	0.13499	(0.1242, 0.14578)	6e-05	0.36805	(0.35688, 0.37922)	0.16773	8.05758
chr3	6765	5	1	90	295	last_breed_formation_generation	False	TRUE	0.238	(0.227, 0.249)	0.495	(0.444, 0.545)	0.24684	(0.24306, 0.25061)	0.09493	0.35831	(0.35546, 0.36117)	0.22371	0.75917
chr20	6645	49	1	95	275	last_breed_formation_generation	False	TRUE	0.161	(0.154, 0.167)	0.305	(0.279, 0.331)	0.15813	(0.15618, 0.16007)	0.04969	0.33613	(0.33461, 0.33766)	0.20527	4.00482
chr3	3485	11	1	87	255	last_breed_formation_generation	False	TRUE	0.198	(0.191, 0.206)	0.435	(0.39, 0.479)	0.20914	(0.20698, 0.21131)	0.06831	0.34339	(0.34142, 0.34535)	0.20609	2.01398
chr9	6890	40	2	93	290	last_breed_formation_generation	False	TRUE	0.157	(0.151, 0.164)	0.31	(0.271, 0.349)	0.16523	(0.16323, 0.16723)	0.05681	0.33344	(0.33146, 0.33541)	0.206	3.98532
chr3	6720	8	1	97	265	last_breed_formation_generation	False	TRUE	0.209	(0.201, 0.216)	0.428	(0.379, 0.476)	0.2219	(0.21944, 0.22436)	0.08363	0.35074	(0.34846, 0.35302)	0.22019	1.63659
chr3	7000	5	1	91	280	last_breed_formation_generation	False	TRUE	0.234	(0.22, 0.248)	0.509	(0.453, 0.566)	0.24786	(0.24296, 0.25275)	0.10029	0.35594	(0.35344, 0.35844)	0.22195	0.75144
chr38	6580	15	1	94	295	last_breed_formation_generation	False	TRUE	0.17	(0.161, 0.179)	0.278	(0.259, 0.297)	0.19929	(0.19586, 0.20272)	0.07923	0.34014	(0.33682, 0.34346)	0.21851	3.1674
chr21	6790	7	1	89	285	last_breed_formation_generation	False	TRUE	0.212	(0.20, 0.224)	0.406	(0.369, 0.443)	0.23053	(0.22614, 0.23491)	0.09546	0.34936	(0.34728, 0.35145)	0.22516	1.56178
chr3	6510	9	2	86	580	last_breed_formation_generation	False	TRUE	0.168	(0.157, 0.179)	0.356	(0.307, 0.404)	0.22695	(0.22284, 0.23105)	0.09403	0.34321	(0.34093, 0.3455)	0.21999	2.51215
chr3	6880	6	1	92	270	last_breed_formation_generation	False	TRUE	0.226	(0.212, 0.24)	0.495	(0.445, 0.545)	0.23485	(0.2299, 0.2398)	0.08884	0.35257	(0.35064, 0.35451)	0.21764	1.00846
chr3	6695	5	1	98	255	last_breed_formation_generation	False	TRUE	0.256	(0.245, 0.268)	0.532	(0.488, 0.577)	0.23747	(0.23315, 0.24178)	0.08245	0.35959	(0.35711, 0.36207)	0.21976	0.93319
chr3	6580	8	1	89	295	last_breed_formation_generation	False	TRUE	0.187	(0.18, 0.195)	0.359	(0.326, 0.393)	0.22935	(0.22665, 0.23206)	0.09394	0.34688	(0.3446, 0.34915)	0.22188	2.00377
chr9	6875	10	2	95	280	last_breed_formation_generation	False	TRUE	0.226	(0.213, 0.239)	0.466	(0.41, 0.522)	0.20448	(0.19998, 0.20897)	0.07567	0.35143	(0.34804, 0.35482)	0.21979	1.77093
chr2	6725	7	1	86	265	last_breed_formation_generation	False	TRUE	0.208	(0.197, 0.219)	0.461	(0.41, 0.513)	0.23273	(0.22929, 0.23616)	0.09259	0.35104	(0.34849, 0.35358)	0.22266	1.375
chr28	7000	5	1	100	300	last_breed_formation_generation	False	TRUE	0.245	(0.221, 0.27)	0.517	(0.438, 0.595)	0.24206	(0.23315, 0.25096)	0.09384	0.35722	(0.35177, 0.36266)	0.22082	1.14826
chr3	6420	7	1	90	285	last_breed_formation_generation	False	TRUE	0.197	(0.189, 0.204)	0.415	(0.372, 0.458)	0.23548	(0.23278, 0.23819)	0.09607	0.35113	(0.34859, 0.35366)	0.22415	1.54919
chr20	6765	18	15	88	275	last_breed_formation_generation	False	TRUE	0.419	(0.393, 0.445)	0.84	(0.794, 0.887)	0.1282	(0.12255, 0.13385)	0.00697	0.35496	(0.34966, 0.36027)	0.16993	6.33956
chr3	1275	9	1	93	290	last_breed_formation_generation	False	TRUE	0.209	(0.201, 0.217)	0.46	(0.415, 0.504)	0.22105	(0.21795, 0.22415)	0.0667	0.34466	(0.34201, 0.3473)	0.19698	1.54544
chr3	6545	5	3	97	250	last_breed_formation_generation	False	TRUE	0.376	(0.347, 0.405)	0.838	(0.777, 0.90)	0.19421	(0.18436, 0.20407)	0.02835	0.36569	(0.36081, 0.37056)	0.18254	4.57102
chr38	6665	12	2	84	305	last_breed_formation_generation	False	TRUE	0.196	(0.181, 0.212)	0.341	(0.29, 0.391)	0.20552	(0.20033, 0.21071)	0.08333	0.34478	(0.34068, 0.34888)	0.22247	2.74504
chr3	6880	7	1	87	270	last_breed_formation_generation	False	TRUE	0.208	(0.201, 0.216)	0.426	(0.401, 0.45)	0.2328	(0.2301, 0.2355)	0.09587	0.34899	(0.347, 0.35097)	0.21918	1.32944
chr3	6455	5	1	91	550	last_breed_formation_generation	False	TRUE	0.177	(0.168, 0.186)	0.358	(0.321, 0.396)	0.26588	(0.26266, 0.26911)	0.12489	0.35132	(0.34805, 0.35459)	0.23431	2.30683
chr21	6790	9	2	94	260	last_breed_formation_generation	False	TRUE	0.228	(0.216, 0.24)	0.488	(0.427, 0.55)	0.20928	(0.20583, 0.21273)	0.06999	0.35032	(0.34728, 0.35335)	0.21448	1.53932
chr2	6635	7	1	99	290	last_breed_formation_generation	False	TRUE	0.206	(0.198, 0.214)	0.449	(0.404, 0.495)	0.22846	(0.2258, 0.23112)	0.08609	0.35004	(0.3478, 0.35227)	0.21688	1.45482
chr3	6885	5	1	85	280	last_breed_formation_generation	False	TRUE	0.231	(0.215, 0.246)	0.458	(0.411, 0.504)	0.25138	(0.24547, 0.25729)	0.10322	0.35608	(0.35294, 0.35923)	0.22406	1.04426
chr3	6355	7	1	96	310	last_breed_formation_generation	False	TRUE	0.193	(0.186, 0.20)	0.409	(0.372, 0.445)	0.23539	(0.23259, 0.23819)	0.09375	0.35108	(0.34917, 0.35298)	0.22506	1.59043
chr28	6680	11	1	89	275	last_breed_formation_generation	False	TRUE	0.184	(0.171, 0.196)	0.333	(0.289, 0.378)	0.21326	(0.21005, 0.21648)	0.08782	0.34589	(0.34282, 0.34897)	0.22556	2.65083
chr3	6535	5	2	92	295	last_breed_formation_generation	False	TRUE	0.306	(0.283, 0.33)	0.651	(0.583, 0.718)	0.22042	(0.21225, 0.2286)	0.06065	0.36278	(0.35807, 0.36748)	0.20622	2.44162
chr9	6790	9	1	102	285	last_breed_formation_generation	False	TRUE	0.21	(0.205, 0.216)	0.428	(0.384, 0.472)	0.21604	(0.21415, 0.21793)	0.08624	0.34764	(0.34493, 0.35035)	0.22195	1.69172
chr3	6900	7	1	83	265	last_breed_formation_generation	False	TRUE	0.207	(0.199, 0.214)	0.412	(0.375, 0.448)	0.23361	(0.23034, 0.23689)	0.09465	0.34939	(0.34711, 0.35167)	0.22254	1.4508
chr3	6640	5	1	87	300	last_breed_formation_generation	False	TRUE	0.22	(0.209, 0.232)	0.45	(0.404, 0.497)	0.25314	(0.24808, 0.25819)	0.10537	0.35726	(0.35457, 0.35995)	0.2265	1.19419
chr20	6490	8	1	90	255	last_breed_formation_generation	False	TRUE	0.213	(0.205, 0.221)	0.451	(0.39, 0.512)	0.22372	(0.22077, 0.22666)	0.09073	0.34905	(0.34632, 0.35178)	0.22162	1.53021
chr3	6270	7	1	95	275	last_breed_formation_generation	False	TRUE	0.215	(0.202, 0.229)	0.449	(0.382, 0.515)	0.22637	(0.22196, 0.23079)	0.08226	0.35217	(0.34954, 0.3548)	0.21816	1.58147
chr3	6760	5	2	93	375	last_breed_formation_generation	False	TRUE	0.261	(0.24, 0.282)	0.541	(0.473, 0.608)	0.23349	(0.22565, 0.24133)	0.076	0.36435	(0.35829, 0.3704)	0.22177	1.33545
chr38	6885	10	1	85	290	last_breed_formation_generation	False	TRUE	0.188	(0.175, 0.201)	0.318	(0.288, 0.349)	0.21821	(0.21316, 0.22326)	0.09405	0.34181	(0.33742, 0.3462)	0.22311	2.53626
chr3	6600	13	1	88	245	last_breed_formation_generation	False	TRUE	0.18	(0.174, 0.185)	0.375	(0.351, 0.40)	0.20459	(0.20277, 0.20641)	0.07322	0.34245	(0.34072, 0.34418)	0.21245	2.45415
chr21	7000	26	5	104	315	last_breed_formation_generation	False	TRUE	0.2	(0.188, 0.211)	0.439	(0.394, 0.484)	0.16718	(0.16481, 0.16954)	0.04451	0.34628	(0.34359, 0.34897)	0.20278	2.90371
chr3	6770	7	2	91	270	last_breed_formation_generation	False	TRUE	0.249	(0.234, 0.263)	0.526	(0.469, 0.582)	0.2169	(0.21245, 0.22136)	0.0706	0.35723	(0.35477, 0.35969)	0.21502	1.37788
chr2	6430	5	1	97	300	last_breed_formation_generation	False	TRUE	0.23	(0.215, 0.245)	0.516	(0.455, 0.577)	0.24666	(0.24092, 0.2524)	0.09499	0.3555	(0.35192, 0.35908)	0.22373	0.7774
chr3	6680	9	1	94	280	last_breed_formation_generation	False	TRUE	0.191	(0.183, 0.20)	0.383	(0.355, 0.411)	0.21983	(0.21697, 0.2227)	0.08536	0.34677	(0.34502, 0.34853)	0.21828	2.03802
chr28	120	7	1	106	260	last_breed_formation_generation	False	TRUE	0.005	(0.001, 0.009)	0.057	(0.018, 0.096)	0.22223	(0.2119, 0.23256)	0	0.35144	(0.34489, 0.35799)	0.14689	9.21708
chr3	6570	5	8	83	290	last_breed_formation_generation	False	TRUE	0.594	(0.55, 0.639)	0.996	(0.988, 1.003)	0.12804	(0.11374, 0.14234)	1e-05	0.36847	(0.35585, 0.38109)	0.17042	9.49604
chr3	6895	9	1	89	310	last_breed_formation_generation	False	TRUE	0.184	(0.176, 0.192)	0.416	(0.371, 0.462)	0.22422	(0.22176, 0.22669)	0.08955	0.34236	(0.33958, 0.34514)	0.21378	1.99401
chr3	6765	7	2	86	280	last_breed_formation_generation	False	TRUE	0.242	(0.227, 0.257)	0.501	(0.455, 0.547)	0.21951	(0.21491, 0.2241)	0.07374	0.35639	(0.35281, 0.35997)	0.21815	1.30747
chr20	6670	5	1	92	270	last_breed_formation_generation	False	TRUE	0.257	(0.239, 0.275)	0.51	(0.448, 0.573)	0.24128	(0.23435, 0.2482)	0.09409	0.35671	(0.35299, 0.36043)	0.2244	1.14884
chr3	6310	7	2	99	295	last_breed_formation_generation	False	TRUE	0.244	(0.228, 0.261)	0.554	(0.501, 0.606)	0.21584	(0.2106, 0.22109)	0.06821	0.35508	(0.35076, 0.35939)	0.21267	1.25583
chr38	6870	11	1	95	285	last_breed_formation_generation	False	TRUE	0.186	(0.172, 0.20)	0.326	(0.291, 0.362)	0.20909	(0.20517, 0.21301)	0.08761	0.34233	(0.33918, 0.34549)	0.22408	2.73683
chr9	6520	5	1	87	265	last_breed_formation_generation	False	TRUE	0.25	(0.238, 0.262)	0.521	(0.466, 0.576)	0.2456	(0.24133, 0.24988)	0.10413	0.35719	(0.35429, 0.36008)	0.23059	0.81445
