CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
,,,Dysautonomia,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000312/9685/,,
,,,Encephalomyelopathy,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000335/9685/,,
,,,"Epidermolysis bullosa, dystrophic",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000341/9685/,,
,,,Epistaxis,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000346/9685/,,
,,,Epitheliogenesis imperfecta,Integument (skin) phene,yes,yes,,,https://www.omia.org/OMIA000348/9685/,,
,,,Erythrocytosis,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001186/9685/,,
,,,Factor X deficiency,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000362/9685/,,
,,,Fragile site,Chromosomal disorder,unknown,yes,,,https://www.omia.org/OMIA000392/9685/,,
,,,"Fucosidosis, alpha",Lysosomal storage disease,yes,yes,,,https://www.omia.org/OMIA000396/9685/,,
,,,"Gangliosidosis, generic",Lysosomal storage disease,unknown,yes,,,https://www.omia.org/OMIA000401/9685/,,
,,,Glucose-6-phosphate dehydrogenase deficiency,Haematopoietic system phene,yes,yes,,,https://www.omia.org/OMIA000416/9685/,,
,,,"Goitre, familial",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000424/9685/,,
,,,"Haemolytic anaemia, autoimmune",Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000432/9685/,,
,,,Haemophagocytic syndrome,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001229/9685/,,
,,,"Heart defect, congenital",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000446/9685/,,
,,,"Hernia, diaphragmatic",Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA000459/9685/,,
,,,"Hernia, hiatal",Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA000461/9685/,,
,,,"Hernia, inguinal",Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA000462/9685/,,
,,,"Hernia, umbilical",Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA000465/9685/,,
,,,Hind limb paralysis,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000472/9685/,,
,,,Hip dysplasia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000473/9685/,,
,,,Horner syndrome,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001197/9685/,,
,,,Hyperaldosteronism,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA001269/9685/,,
,,,"Hyperbilirubinaemia, generic",Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000495/9685/,,
,,,Hypereosinophilic syndrome,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000502/9685/,,
,,,Hyperparathyroidism,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000508/9685/,,
,,,Hypertension,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000509/9685/,,
,,,"Hypertension, Systemic",Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000967/9685/,,
,,,Hypertriglyceridaemia,Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000514/9685/,,
,,,Hypoadrenocorticism,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000519/9685/,,
,,,Hypomyelination of the central nervous system,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000526/9685/,,
,,,Hypoparathyroidism,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000528/9685/,,
,,,"Hypotrichosis with thymic aplasia, congenital",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000544/9685/,,
,,,"Hypotrichosis, generic",Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA000540/9685/,,
,,,Immunodeficiency,Immune system phene,unknown,yes,,,https://www.omia.org/OMIA000550/9685/,,
,,,"Intussusception, susceptibility to",Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA001227/9685/,,
,,,Iris defects,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000567/9685/,,
,,,Krabbe disease,Lysosomal storage disease,yes,yes,,,https://www.omia.org/OMIA000578/9685/,,
,,,Lysosomal storage disease,Lysosomal storage disease,unknown,yes,,,https://www.omia.org/OMIA000616/9685/,,
,,,Malignant hyperthermia,Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000621/9685/,,
,,,Megacolon,Pigmentation phene,unknown,yes,,,https://www.omia.org/OMIA000629/9685/,,
,,,"Megaoesophagus, generic",Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000631/9685/,,
,,,Mitral stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000653/9685/,,
,,,Mitral valve stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000655/9685/,,
,,,Monorchidism,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000659/9685/,,
,,,Muscular dystrophy,Muscle phene,unknown,yes,,,https://www.omia.org/OMIA000679/9685/,,
,,,Myasthenia,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000684/9685/,,
,,,Mycosis fungoides,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001109/9685/,,
,,,"Neuroaxonal dystrophy, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000715/9685/,,
,,,Osteoarthritis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000747/9685/,,
,,,Osteodystrophy,Skeleton phene (incl. short stature & teeth),yes,yes,,,https://www.omia.org/OMIA000753/9685/,,VBO_0100209
,,,"Osteogenesis imperfecta, generic",Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000754/9685/,,
,,,"Otitis externa, susceptibility to",Hearing / vestibular / ear phene,unknown,yes,,,https://www.omia.org/OMIA001110/9685/,,
,,,"Otitis media, susceptibility to",Hearing / vestibular / ear phene,unknown,yes,,,https://www.omia.org/OMIA001266/9685/,,
,,,Ovarian dysgenesis,Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000760/9685/,,
,,,Patellar luxation,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000778/9685/,,
,,,Patent ductus arteriosus,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000779/9685/,,
,,,Patent urachus,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000781/9685/,,
,,,Pelger-Huet anomaly,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000783/9685/,,
,,,Peromelus ascelus,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000787/9685/,,
,,,"Persistent Mullerian duct syndrome, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000791/9685/,,
,,,Persistent right aortic arch,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000794/9685/,,
,,,Pheochromocytoma,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA001268/9685/,,
,,,Polyarthritis,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000805/9685/,,
,,,Polycythemia,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA000809/9685/,,
,,,"Polyneuropathy, generic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001292/9685/,,
,,,"Porphyria, unclassified",Homeostasis / metabolism phene,yes,yes,,,https://www.omia.org/OMIA000815/9685/,,
,,,Pyloric stenosis,Digestive / alimentary phene,unknown,yes,,,https://www.omia.org/OMIA000843/9685/,,
,,,Retinal atrophy - Rod-cone degeneration,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000880/9685/,,
,,,Retinal degeneration,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000866/9685/,,
,,,"Retinal degeneration, central",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000867/9685/,,
,,,Retinal dystrophy,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000869/9685/,,
,,,"Sex reversal, generic (redundant)",,unknown,yes,,,https://www.omia.org/OMIA000900/9685/,,
,,,Shoulder luxation,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000912/9685/,,
,,,Situs inversus,Growth / size / body region phene,unknown,yes,,,https://www.omia.org/OMIA001102/9685/,,
,,,Spina bifida,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000933/9685/,,
,,,Spina bifida with raduschisis,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000936/9685/,,
,,,Spinal dysplasia,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000937/9685/,,
,,,Split hand,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000942/9685/,,
,,,Spondylosis deformans,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001132/9685/,,
,,,Strabismus,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000949/9685/,,
,,,Subaortic stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000952/9685/,,
,,,Subvalvular pulmonary stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000954/9685/,,
,,,Supravalvular aortic stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000960/9685/,,
,,,Syndactyly,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA000963/9685/,,
,,,Systemic lupus erythematosus,Immune system phene,unknown,yes,,,https://www.omia.org/OMIA000968/9685/,,
,,,"Tail, stump",Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000976/9685/,,
,,,Tetralogy of Fallot,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000994/9685/,,
,,,Third hind leg,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000996/9685/,,
,,,Thrombocytopenia,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA001001/9685/,,
,,,Tremor,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001016/9685/,,
,,,Tricuspid stenosis,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA001021/9685/,,
,,,"Urolith, KMgP",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001349/9685/,,
,,,Various disorders,,unknown,yes,,,https://www.omia.org/OMIA001039/9685/,,
,,,Vertebral anomalies,Skeleton phene (incl. short stature & teeth),unknown,yes,,,https://www.omia.org/OMIA001046/9685/,,
,,,"Visual pathway, abnormal",Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA001052/9685/,,
,,,Vitamin-K-dependent blood coagulation factors deficiency,Haematopoietic system phene,yes,yes,,,https://www.omia.org/OMIA001054/9685/,,
,,,"Waardenburg syndrome, generic",Pigmentation phene,unknown,yes,,,https://www.omia.org/OMIA001059/9685/,,
